uid,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,label
2241752791385,8.0,18.0,0.4827586206896552,7.0,0.0,33.0,22.0,0.030612244897959183,155.0,21.0,22.0,154.0,11.0,0.0,0,35.0,5489.0,20.0,0,4.7322912319307955,41.0,7.0,0.0,4.0,20062.0,8382.0,0.0,19.0,28.0,3.0,2.0,73.0,6.0,44.0,22.0,8170.0,40.0,21.0,0.0,15.0,,,1.0,27.0,15.0,28.0,238.0,22.0,17.0,,0
2241753761342,8.0,101.0,0.14285714285714285,9.0,0.0,42.0,30.0,0.0064516129032258064,168.0,21.0,28.0,138.0,52.0,0.0,0,45.0,5096.0,22.0,0,0.0,44.0,5.0,0.0,6.0,7097.0,6017.0,29.0,4.0,44.0,4.0,1.0,201.0,6.0,64.0,21.0,16398.0,69.0,29.0,0.0,46.0,,,0.0,29.0,29.0,30.0,399.0,21.0,5.0,,1
2241753851755,1.0,16.0,0.13541666666666666,1.0,0.0,24.0,22.0,0.020477815699658702,70.0,14.0,21.0,55.0,43.0,0.0,0,74.0,1238.0,17.0,0,200.85803059273425,64.0,3.0,0.0,1.0,3822.0,1447.0,226.0,3.0,47.0,1.0,3.0,154.0,2.0,80.0,22.0,8274.0,94.0,42.0,0.0,50.0,,0.0,1.0,26.0,26.0,28.0,220.0,17.0,2.0,,0
2241754043316,0.0,52.0,0.007299270072992701,0.0,0.0,111.0,28.0,0.005755395683453238,254.0,22.0,23.0,242.0,60.0,0.0,1,46.0,3132.0,22.0,0,7.008763970580387,103.0,46.0,0.0,6.0,24592.0,3637.0,394.0,15.0,45.0,0.0,1.0,186.0,13.0,108.0,22.0,8446.0,50.0,29.0,0.0,135.0,0.0,0.0,1.0,30.0,29.0,30.0,344.0,22.0,11.0,,0
2241754576293,0.0,,0.35294117647058826,0.0,0.0,15.0,2.0,0.013513513513513514,42.0,,,37.0,18.0,0.0,0,29.0,201.0,10.0,0,0.0,30.0,,0.0,,2592.0,,65.0,1.0,15.0,0.0,0.0,38.0,0.0,35.0,14.0,1053.0,29.0,19.0,0.0,8.0,0.0,,,16.0,12.0,20.0,63.0,15.0,3.0,,0
2241754652771,3.0,6.0,0.0,5.0,1.0,21.0,28.0,0.018867924528301886,32.0,19.0,4.0,29.0,23.0,213.0,0,26.0,1558.0,20.0,0,53.7260673415493,32.0,8.0,0.0,1.0,11124.0,2709.0,4.0,5.0,13.0,0.0,1.0,190.0,2.0,44.0,22.0,4915.0,28.0,36.0,0.0,36.0,,,0.0,30.0,10.0,30.0,51.0,19.0,5.0,,0
2241755689550,3.0,9.0,0.019230769230769232,10.0,2.0,16.0,18.0,0.0,54.0,11.0,11.0,51.0,13.0,0.0,0,17.0,625.0,14.0,0,14.282120002187824,15.0,5.0,0.0,1.0,13711.0,939.0,213.0,0.0,7.0,3.0,3.0,64.0,3.0,22.0,16.0,2134.0,22.0,15.0,0.0,13.0,,0.0,1.0,18.0,12.0,23.0,75.0,15.0,5.0,,0
2241755917878,0.0,46.0,0.9420289855072465,1.0,1.0,10.0,26.0,0.0,67.0,22.0,21.0,62.0,10.0,206.0,0,13.0,6566.0,20.0,0,2.995105573982688,13.0,5.0,0.0,1.0,4305.0,5541.0,176.0,2.0,11.0,0.0,0.0,176.0,1.0,20.0,22.0,15865.0,16.0,43.0,0.0,15.0,,,0.0,29.0,27.0,30.0,208.0,19.0,1.0,,0
2241756078024,1.0,44.0,0.028571428571428567,2.0,0.0,46.0,27.0,0.03056768558951965,141.0,9.0,13.0,122.0,77.0,0.0,0,32.0,2747.0,20.0,0,0.0,35.0,5.0,0.0,3.0,10635.0,1434.0,507.0,12.0,29.0,0.0,1.0,175.0,22.0,37.0,20.0,18073.0,49.0,45.0,0.0,75.0,,,0.0,29.0,27.0,29.0,247.0,21.0,13.0,,1
2241756088917,0.0,15.0,0.08571428571428573,0.0,2.0,82.0,29.0,0.005194805194805196,256.0,20.0,21.0,223.0,85.0,0.0,0,89.0,6900.0,20.0,0,0.0,98.0,22.0,0.0,7.0,13672.0,8337.0,12.0,26.0,48.0,0.0,1.0,226.0,19.0,109.0,22.0,20812.0,103.0,63.0,0.0,84.0,0.0,0.0,0.0,30.0,29.0,30.0,404.0,22.0,8.0,,0
